TIRP_Representation,Size,Vertical_Support,Mean_Horizontal_Support,Mean_Mean_Duration,Prefix_Metrics_Cls0,Prefix_Metrics_Cls1,Score_vertical_support,Score_diff_vertical_support,Score_mean_squared_mmd,Score_mean_squared_vs,Binary_random#50,Binary_random#25,Binary_random#10,Binary_random#3,Binary_vertical_support#50,Binary_vertical_support#25,Binary_vertical_support#10,Binary_vertical_support#3,Binary_diff_vertical_support#50,Binary_diff_vertical_support#25,Binary_diff_vertical_support#10,Binary_diff_vertical_support#3,Binary_mean_squared_mmd#50,Binary_mean_squared_mmd#25,Binary_mean_squared_mmd#10,Binary_mean_squared_mmd#3,Binary_mean_squared_vs#50,Binary_mean_squared_vs#25,Binary_mean_squared_vs#10,Binary_mean_squared_vs#3,Binary_all
5-181_184_214_212_999_6_6_6_4_4_4_0_0_0_0,5,330,3.636,35.521,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_184_6': {'VS': 0.334, 'HS': np.float64(1.081), 'MMD': np.float64(42.378)}, '3-181_184_214_6_6_6': {'VS': 0.157, 'HS': np.float64(1.081), 'MMD': np.float64(41.653)}, '4-181_184_214_212_6_6_6_4_4_4': {'VS': 0.142, 'HS': np.float64(8.143), 'MMD': np.float64(46.118)}, '5-181_184_214_212_999_6_6_6_4_4_4_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_184_6': {'VS': 0.652, 'HS': np.float64(1.019), 'MMD': np.float64(31.647)}, '3-181_184_214_6_6_6': {'VS': 0.319, 'HS': np.float64(1.005), 'MMD': np.float64(30.442)}, '4-181_184_214_212_6_6_6_4_4_4': {'VS': 0.27, 'HS': np.float64(3.997), 'MMD': np.float64(33.327)}, '5-181_184_214_212_999_6_6_6_4_4_4_0_0_0_0': {'VS': 0.267, 'HS': np.float64(3.636), 'MMD': np.float64(35.521)}}",330,0.128,106.563,0.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-181_184_214_224_999_6_6_6_4_4_4_0_0_0_0,5,249,2.675,36.12,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_184_6': {'VS': 0.334, 'HS': np.float64(1.081), 'MMD': np.float64(42.378)}, '3-181_184_214_6_6_6': {'VS': 0.157, 'HS': np.float64(1.081), 'MMD': np.float64(41.653)}, '4-181_184_214_224_6_6_6_4_4_4': {'VS': 0.032, 'HS': np.float64(4.053), 'MMD': np.float64(39.444)}, '5-181_184_214_224_999_6_6_6_4_4_4_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_184_6': {'VS': 0.652, 'HS': np.float64(1.019), 'MMD': np.float64(31.647)}, '3-181_184_214_6_6_6': {'VS': 0.319, 'HS': np.float64(1.005), 'MMD': np.float64(30.442)}, '4-181_184_214_224_6_6_6_4_4_4': {'VS': 0.205, 'HS': np.float64(2.854), 'MMD': np.float64(33.972)}, '5-181_184_214_224_999_6_6_6_4_4_4_0_0_0_0': {'VS': 0.202, 'HS': np.float64(2.675), 'MMD': np.float64(36.12)}}",249,0.173,73.146,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-181_184_214_213_999_6_6_6_4_4_4_0_0_0_0,5,320,3.462,35.628,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_184_6': {'VS': 0.334, 'HS': np.float64(1.081), 'MMD': np.float64(42.378)}, '3-181_184_214_6_6_6': {'VS': 0.157, 'HS': np.float64(1.081), 'MMD': np.float64(41.653)}, '4-181_184_214_213_6_6_6_4_4_4': {'VS': 0.138, 'HS': np.float64(7.653), 'MMD': np.float64(46.345)}, '5-181_184_214_213_999_6_6_6_4_4_4_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_184_6': {'VS': 0.652, 'HS': np.float64(1.019), 'MMD': np.float64(31.647)}, '3-181_184_214_6_6_6': {'VS': 0.319, 'HS': np.float64(1.005), 'MMD': np.float64(30.442)}, '4-181_184_214_213_6_6_6_4_4_4': {'VS': 0.262, 'HS': np.float64(3.746), 'MMD': np.float64(33.412)}, '5-181_184_214_213_999_6_6_6_4_4_4_0_0_0_0': {'VS': 0.259, 'HS': np.float64(3.462), 'MMD': np.float64(35.628)}}",320,0.124,107.476,0.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_184_214_999_6_6_6_0_0_0,4,391,1.003,33.058,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_184_6': {'VS': 0.334, 'HS': np.float64(1.081), 'MMD': np.float64(42.378)}, '3-181_184_214_6_6_6': {'VS': 0.157, 'HS': np.float64(1.081), 'MMD': np.float64(41.653)}, '4-181_184_214_999_6_6_6_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_184_6': {'VS': 0.652, 'HS': np.float64(1.019), 'MMD': np.float64(31.647)}, '3-181_184_214_6_6_6': {'VS': 0.319, 'HS': np.float64(1.005), 'MMD': np.float64(30.442)}, '4-181_184_214_999_6_6_6_0_0_0': {'VS': 0.317, 'HS': np.float64(1.003), 'MMD': np.float64(33.058)}}",391,0.162,87.547,0.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-181_184_226_202_999_6_6_6_4_4_4_0_0_0_0,5,367,1.771,35.993,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_184_6': {'VS': 0.334, 'HS': np.float64(1.081), 'MMD': np.float64(42.378)}, '3-181_184_226_6_6_6': {'VS': 0.217, 'HS': np.float64(1.025), 'MMD': np.float64(45.89)}, '4-181_184_226_202_6_6_6_4_4_4': {'VS': 0.179, 'HS': np.float64(3.426), 'MMD': np.float64(47.113)}, '5-181_184_226_202_999_6_6_6_4_4_4_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_184_6': {'VS': 0.652, 'HS': np.float64(1.019), 'MMD': np.float64(31.647)}, '3-181_184_226_6_6_6': {'VS': 0.433, 'HS': np.float64(1.002), 'MMD': np.float64(32.926)}, '4-181_184_226_202_6_6_6_4_4_4': {'VS': 0.3, 'HS': np.float64(1.932), 'MMD': np.float64(33.961)}, '5-181_184_226_202_999_6_6_6_4_4_4_0_0_0_0': {'VS': 0.297, 'HS': np.float64(1.771), 'MMD': np.float64(35.993)}}",367,0.121,119.499,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-181_184_226_225_212_999_6_6_6_4_4_4_4_4_4_0_0_0_0_0_0,6,274,4.135,36.85,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_184_6': {'VS': 0.334, 'HS': np.float64(1.081), 'MMD': np.float64(42.378)}, '3-181_184_226_6_6_6': {'VS': 0.217, 'HS': np.float64(1.025), 'MMD': np.float64(45.89)}, '4-181_184_226_225_6_6_6_4_4_4': {'VS': 0.036, 'HS': np.float64(3.762), 'MMD': np.float64(38.518)}, '5-181_184_226_225_212_6_6_6_4_4_4_4_4_4_0': {'VS': 0.032, 'HS': np.float64(10.133), 'MMD': np.float64(39.173)}, '6-181_184_226_225_212_999_6_6_6_4_4_4_4_4_4_0_0_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_184_6': {'VS': 0.652, 'HS': np.float64(1.019), 'MMD': np.float64(31.647)}, '3-181_184_226_6_6_6': {'VS': 0.433, 'HS': np.float64(1.002), 'MMD': np.float64(32.926)}, '4-181_184_226_225_6_6_6_4_4_4': {'VS': 0.285, 'HS': np.float64(2.739), 'MMD': np.float64(34.205)}, '5-181_184_226_225_212_6_6_6_4_4_4_4_4_4_0': {'VS': 0.237, 'HS': np.float64(4.976), 'MMD': np.float64(34.894)}, '6-181_184_226_225_212_999_6_6_6_4_4_4_4_4_4_0_0_0_0_0_0': {'VS': 0.222, 'HS': np.float64(4.135), 'MMD': np.float64(36.85)}}",274,0.205,68.386,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-181_184_226_225_213_999_6_6_6_4_4_4_4_4_4_0_0_0_0_0_0,6,266,3.951,36.917,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_184_6': {'VS': 0.334, 'HS': np.float64(1.081), 'MMD': np.float64(42.378)}, '3-181_184_226_6_6_6': {'VS': 0.217, 'HS': np.float64(1.025), 'MMD': np.float64(45.89)}, '4-181_184_226_225_6_6_6_4_4_4': {'VS': 0.036, 'HS': np.float64(3.762), 'MMD': np.float64(38.518)}, '5-181_184_226_225_213_6_6_6_4_4_4_4_4_4_0': {'VS': 0.029, 'HS': np.float64(9.841), 'MMD': np.float64(40.232)}, '6-181_184_226_225_213_999_6_6_6_4_4_4_4_4_4_0_0_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_184_6': {'VS': 0.652, 'HS': np.float64(1.019), 'MMD': np.float64(31.647)}, '3-181_184_226_6_6_6': {'VS': 0.433, 'HS': np.float64(1.002), 'MMD': np.float64(32.926)}, '4-181_184_226_225_6_6_6_4_4_4': {'VS': 0.285, 'HS': np.float64(2.739), 'MMD': np.float64(34.205)}, '5-181_184_226_225_213_6_6_6_4_4_4_4_4_4_0': {'VS': 0.227, 'HS': np.float64(4.821), 'MMD': np.float64(34.943)}, '6-181_184_226_225_213_999_6_6_6_4_4_4_4_4_4_0_0_0_0_0_0': {'VS': 0.216, 'HS': np.float64(3.951), 'MMD': np.float64(36.917)}}",266,0.198,70.319,0.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-181_184_226_225_999_6_6_6_4_4_4_0_0_0_0,5,344,2.517,36.186,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_184_6': {'VS': 0.334, 'HS': np.float64(1.081), 'MMD': np.float64(42.378)}, '3-181_184_226_6_6_6': {'VS': 0.217, 'HS': np.float64(1.025), 'MMD': np.float64(45.89)}, '4-181_184_226_225_6_6_6_4_4_4': {'VS': 0.036, 'HS': np.float64(3.762), 'MMD': np.float64(38.518)}, '5-181_184_226_225_999_6_6_6_4_4_4_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_184_6': {'VS': 0.652, 'HS': np.float64(1.019), 'MMD': np.float64(31.647)}, '3-181_184_226_6_6_6': {'VS': 0.433, 'HS': np.float64(1.002), 'MMD': np.float64(32.926)}, '4-181_184_226_225_6_6_6_4_4_4': {'VS': 0.285, 'HS': np.float64(2.739), 'MMD': np.float64(34.205)}, '5-181_184_226_225_999_6_6_6_4_4_4_0_0_0_0': {'VS': 0.279, 'HS': np.float64(2.517), 'MMD': np.float64(36.186)}}",344,0.249,80.905,0.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-181_184_226_212_202_999_6_6_6_4_4_4_4_4_4_0_0_0_0_0_0,6,248,3.077,36.827,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_184_6': {'VS': 0.334, 'HS': np.float64(1.081), 'MMD': np.float64(42.378)}, '3-181_184_226_6_6_6': {'VS': 0.217, 'HS': np.float64(1.025), 'MMD': np.float64(45.89)}, '4-181_184_226_212_6_6_6_4_4_4': {'VS': 0.212, 'HS': np.float64(8.255), 'MMD': np.float64(46.766)}, '5-181_184_226_212_202_6_6_6_4_4_4_4_4_4_0': {'VS': 0.165, 'HS': np.float64(9.392), 'MMD': np.float64(47.633)}, '6-181_184_226_212_202_999_6_6_6_4_4_4_4_4_4_0_0_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_184_6': {'VS': 0.652, 'HS': np.float64(1.019), 'MMD': np.float64(31.647)}, '3-181_184_226_6_6_6': {'VS': 0.433, 'HS': np.float64(1.002), 'MMD': np.float64(32.926)}, '4-181_184_226_212_6_6_6_4_4_4': {'VS': 0.388, 'HS': np.float64(4.0), 'MMD': np.float64(34.306)}, '5-181_184_226_212_202_6_6_6_4_4_4_4_4_4_0': {'VS': 0.214, 'HS': np.float64(3.598), 'MMD': np.float64(34.83)}, '6-181_184_226_212_202_999_6_6_6_4_4_4_4_4_4_0_0_0_0_0_0': {'VS': 0.201, 'HS': np.float64(3.077), 'MMD': np.float64(36.827)}}",248,0.049,124.838,0.229,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6-181_184_226_212_225_999_6_6_6_4_4_4_4_4_4_0_0_0_0_0_0,6,275,4.265,36.92,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_184_6': {'VS': 0.334, 'HS': np.float64(1.081), 'MMD': np.float64(42.378)}, '3-181_184_226_6_6_6': {'VS': 0.217, 'HS': np.float64(1.025), 'MMD': np.float64(45.89)}, '4-181_184_226_212_6_6_6_4_4_4': {'VS': 0.212, 'HS': np.float64(8.255), 'MMD': np.float64(46.766)}, '5-181_184_226_212_225_6_6_6_4_4_4_4_4_4_0': {'VS': 0.033, 'HS': np.float64(9.756), 'MMD': np.float64(38.968)}, '6-181_184_226_212_225_999_6_6_6_4_4_4_4_4_4_0_0_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_184_6': {'VS': 0.652, 'HS': np.float64(1.019), 'MMD': np.float64(31.647)}, '3-181_184_226_6_6_6': {'VS': 0.433, 'HS': np.float64(1.002), 'MMD': np.float64(32.926)}, '4-181_184_226_212_6_6_6_4_4_4': {'VS': 0.388, 'HS': np.float64(4.0), 'MMD': np.float64(34.306)}, '5-181_184_226_212_225_6_6_6_4_4_4_4_4_4_0': {'VS': 0.235, 'HS': np.float64(5.072), 'MMD': np.float64(34.952)}, '6-181_184_226_212_225_999_6_6_6_4_4_4_4_4_4_0_0_0_0_0_0': {'VS': 0.223, 'HS': np.float64(4.265), 'MMD': np.float64(36.92)}}",275,0.202,95.28,0.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
