TIRP_Representation,Size,Vertical_Support,Mean_Horizontal_Support,Mean_Mean_Duration,Prefix_Metrics_Cls0,Prefix_Metrics_Cls1,Score_vertical_support,Score_diff_vertical_support,Score_mean_squared_mmd,Score_mean_squared_vs,Binary_random#50,Binary_random#25,Binary_random#10,Binary_random#3,Binary_vertical_support#50,Binary_vertical_support#25,Binary_vertical_support#10,Binary_vertical_support#3,Binary_diff_vertical_support#50,Binary_diff_vertical_support#25,Binary_diff_vertical_support#10,Binary_diff_vertical_support#3,Binary_mean_squared_mmd#50,Binary_mean_squared_mmd#25,Binary_mean_squared_mmd#10,Binary_mean_squared_mmd#3,Binary_mean_squared_vs#50,Binary_mean_squared_vs#25,Binary_mean_squared_vs#10,Binary_mean_squared_vs#3,Binary_all
5-181_226_213_224_999_6_4_4_4_4_0_0_0_0_0,5,287,4.098,36.902,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_226_6': {'VS': 0.264, 'HS': np.float64(1.051), 'MMD': np.float64(43.569)}, '3-181_226_213_6_4_4': {'VS': 0.236, 'HS': np.float64(7.684), 'MMD': np.float64(46.312)}, '4-181_226_213_224_6_4_4_4_4_0': {'VS': 0.041, 'HS': np.float64(10.34), 'MMD': np.float64(39.918)}, '5-181_226_213_224_999_6_4_4_4_4_0_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_226_6': {'VS': 0.508, 'HS': np.float64(1.003), 'MMD': np.float64(31.866)}, '3-181_226_213_6_4_4': {'VS': 0.432, 'HS': np.float64(3.709), 'MMD': np.float64(33.635)}, '4-181_226_213_224_6_4_4_4_4_0': {'VS': 0.246, 'HS': np.float64(4.684), 'MMD': np.float64(34.891)}, '5-181_226_213_224_999_6_4_4_4_4_0_0_0_0_0': {'VS': 0.233, 'HS': np.float64(4.098), 'MMD': np.float64(36.902)}}",287,0.205,86.184,0.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-181_226_213_172_999_6_4_4_4_4_0_0_0_0_0,5,248,3.052,36.492,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_226_6': {'VS': 0.264, 'HS': np.float64(1.051), 'MMD': np.float64(43.569)}, '3-181_226_213_6_4_4': {'VS': 0.236, 'HS': np.float64(7.684), 'MMD': np.float64(46.312)}, '4-181_226_213_172_6_4_4_4_4_0': {'VS': 0.148, 'HS': np.float64(5.912), 'MMD': np.float64(47.612)}, '5-181_226_213_172_999_6_4_4_4_4_0_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_226_6': {'VS': 0.508, 'HS': np.float64(1.003), 'MMD': np.float64(31.866)}, '3-181_226_213_6_4_4': {'VS': 0.432, 'HS': np.float64(3.709), 'MMD': np.float64(33.635)}, '4-181_226_213_172_6_4_4_4_4_0': {'VS': 0.214, 'HS': np.float64(3.432), 'MMD': np.float64(34.511)}, '5-181_226_213_172_999_6_4_4_4_4_0_0_0_0_0': {'VS': 0.201, 'HS': np.float64(3.052), 'MMD': np.float64(36.492)}}",248,0.066,122.776,0.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_226_213_999_6_4_4_0_0_0,4,526,3.432,35.702,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_226_6': {'VS': 0.264, 'HS': np.float64(1.051), 'MMD': np.float64(43.569)}, '3-181_226_213_6_4_4': {'VS': 0.236, 'HS': np.float64(7.684), 'MMD': np.float64(46.312)}, '4-181_226_213_999_6_4_4_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_226_6': {'VS': 0.508, 'HS': np.float64(1.003), 'MMD': np.float64(31.866)}, '3-181_226_213_6_4_4': {'VS': 0.432, 'HS': np.float64(3.709), 'MMD': np.float64(33.635)}, '4-181_226_213_999_6_4_4_0_0_0': {'VS': 0.426, 'HS': np.float64(3.432), 'MMD': np.float64(35.702)}}",526,0.196,106.489,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_226_172_999_6_4_4_0_0_0,4,358,1.478,35.626,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_226_6': {'VS': 0.264, 'HS': np.float64(1.051), 'MMD': np.float64(43.569)}, '3-181_226_172_6_4_4': {'VS': 0.177, 'HS': np.float64(2.27), 'MMD': np.float64(46.736)}, '4-181_226_172_999_6_4_4_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_226_6': {'VS': 0.508, 'HS': np.float64(1.003), 'MMD': np.float64(31.866)}, '3-181_226_172_6_4_4': {'VS': 0.302, 'HS': np.float64(1.534), 'MMD': np.float64(33.705)}, '4-181_226_172_999_6_4_4_0_0_0': {'VS': 0.29, 'HS': np.float64(1.478), 'MMD': np.float64(35.626)}}",358,0.125,109.522,0.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-181_226_199_212_999_6_4_4_4_4_0_0_0_0_0,5,248,2.694,36.657,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_226_6': {'VS': 0.264, 'HS': np.float64(1.051), 'MMD': np.float64(43.569)}, '3-181_226_199_6_4_4': {'VS': 0.175, 'HS': np.float64(3.162), 'MMD': np.float64(46.819)}, '4-181_226_199_212_6_4_4_4_4_0': {'VS': 0.156, 'HS': np.float64(8.712), 'MMD': np.float64(47.87)}, '5-181_226_199_212_999_6_4_4_4_4_0_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_226_6': {'VS': 0.508, 'HS': np.float64(1.003), 'MMD': np.float64(31.866)}, '3-181_226_199_6_4_4': {'VS': 0.304, 'HS': np.float64(1.768), 'MMD': np.float64(34.112)}, '4-181_226_199_212_6_4_4_4_4_0': {'VS': 0.212, 'HS': np.float64(3.203), 'MMD': np.float64(34.705)}, '5-181_226_199_212_999_6_4_4_4_4_0_0_0_0_0': {'VS': 0.201, 'HS': np.float64(2.694), 'MMD': np.float64(36.657)}}",248,0.056,123.386,0.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_226_199_999_6_4_4_0_0_0,4,367,1.662,36.18,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_226_6': {'VS': 0.264, 'HS': np.float64(1.051), 'MMD': np.float64(43.569)}, '3-181_226_199_6_4_4': {'VS': 0.175, 'HS': np.float64(3.162), 'MMD': np.float64(46.819)}, '4-181_226_199_999_6_4_4_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_226_6': {'VS': 0.508, 'HS': np.float64(1.003), 'MMD': np.float64(31.866)}, '3-181_226_199_6_4_4': {'VS': 0.304, 'HS': np.float64(1.768), 'MMD': np.float64(34.112)}, '4-181_226_199_999_6_4_4_0_0_0': {'VS': 0.297, 'HS': np.float64(1.662), 'MMD': np.float64(36.18)}}",367,0.129,106.743,0.253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_226_169_999_6_4_4_0_0_0,4,254,1.425,35.496,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_226_6': {'VS': 0.264, 'HS': np.float64(1.051), 'MMD': np.float64(43.569)}, '3-181_226_169_6_4_4': {'VS': 0.113, 'HS': np.float64(2.205), 'MMD': np.float64(46.279)}, '4-181_226_169_999_6_4_4_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_226_6': {'VS': 0.508, 'HS': np.float64(1.003), 'MMD': np.float64(31.866)}, '3-181_226_169_6_4_4': {'VS': 0.212, 'HS': np.float64(1.487), 'MMD': np.float64(33.475)}, '4-181_226_169_999_6_4_4_0_0_0': {'VS': 0.206, 'HS': np.float64(1.425), 'MMD': np.float64(35.496)}}",254,0.099,107.567,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-181_226_999_6_0_0,3,627,1.002,34.095,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_226_6': {'VS': 0.264, 'HS': np.float64(1.051), 'MMD': np.float64(43.569)}, '3-181_226_999_6_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_226_6': {'VS': 0.508, 'HS': np.float64(1.003), 'MMD': np.float64(31.866)}, '3-181_226_999_6_0_0': {'VS': 0.508, 'HS': np.float64(1.002), 'MMD': np.float64(34.095)}}",627,0.244,79.38,0.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_226_157_999_6_4_4_0_0_0,4,277,1.469,35.744,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_226_6': {'VS': 0.264, 'HS': np.float64(1.051), 'MMD': np.float64(43.569)}, '3-181_226_157_6_4_4': {'VS': 0.134, 'HS': np.float64(2.364), 'MMD': np.float64(46.612)}, '4-181_226_157_999_6_4_4_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_226_6': {'VS': 0.508, 'HS': np.float64(1.003), 'MMD': np.float64(31.866)}, '3-181_226_157_6_4_4': {'VS': 0.236, 'HS': np.float64(1.533), 'MMD': np.float64(33.742)}, '4-181_226_157_999_6_4_4_0_0_0': {'VS': 0.224, 'HS': np.float64(1.469), 'MMD': np.float64(35.744)}}",277,0.102,108.132,0.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-181_202_999_3_0_0,3,263,1.015,31.943,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_202_3': {'VS': 0.12, 'HS': np.float64(1.028), 'MMD': np.float64(38.268)}, '3-181_202_999_3_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_202_3': {'VS': 0.213, 'HS': np.float64(1.019), 'MMD': np.float64(29.361)}, '3-181_202_999_3_0_0': {'VS': 0.213, 'HS': np.float64(1.015), 'MMD': np.float64(31.943)}}",263,0.093,50.567,0.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_202_225_999_4_4_0_0_0_0,4,306,2.118,35.536,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_202_4': {'VS': 0.408, 'HS': np.float64(3.255), 'MMD': np.float64(40.333)}, '3-181_202_225_4_4_0': {'VS': 0.071, 'HS': np.float64(4.298), 'MMD': np.float64(39.646)}, '4-181_202_225_999_4_4_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_202_4': {'VS': 0.618, 'HS': np.float64(1.864), 'MMD': np.float64(31.161)}, '3-181_202_225_4_4_0': {'VS': 0.271, 'HS': np.float64(2.43), 'MMD': np.float64(33.378)}, '4-181_202_225_999_4_4_0_0_0_0': {'VS': 0.248, 'HS': np.float64(2.118), 'MMD': np.float64(35.536)}}",306,0.2,48.404,0.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_202_212_999_4_3_0_0_0_0,4,249,1.566,35.466,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_202_4': {'VS': 0.408, 'HS': np.float64(3.255), 'MMD': np.float64(40.333)}, '3-181_202_212_4_3_0': {'VS': 0.123, 'HS': np.float64(1.818), 'MMD': np.float64(41.972)}, '4-181_202_212_999_4_3_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_202_4': {'VS': 0.618, 'HS': np.float64(1.864), 'MMD': np.float64(31.161)}, '3-181_202_212_4_3_0': {'VS': 0.218, 'HS': np.float64(1.636), 'MMD': np.float64(33.022)}, '4-181_202_212_999_4_3_0_0_0_0': {'VS': 0.202, 'HS': np.float64(1.566), 'MMD': np.float64(35.466)}}",249,0.095,62.009,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_202_212_999_4_4_0_0_0_0,4,476,2.662,35.631,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_202_4': {'VS': 0.408, 'HS': np.float64(3.255), 'MMD': np.float64(40.333)}, '3-181_202_212_4_4_0': {'VS': 0.347, 'HS': np.float64(8.667), 'MMD': np.float64(43.625)}, '4-181_202_212_999_4_4_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_202_4': {'VS': 0.618, 'HS': np.float64(1.864), 'MMD': np.float64(31.161)}, '3-181_202_212_4_4_0': {'VS': 0.415, 'HS': np.float64(3.129), 'MMD': np.float64(33.29)}, '4-181_202_212_999_4_4_0_0_0_0': {'VS': 0.386, 'HS': np.float64(2.662), 'MMD': np.float64(35.631)}}",476,0.068,70.912,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_202_208_999_4_4_0_0_0_0,4,250,1.636,36.364,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_202_4': {'VS': 0.408, 'HS': np.float64(3.255), 'MMD': np.float64(40.333)}, '3-181_202_208_4_4_0': {'VS': 0.216, 'HS': np.float64(3.723), 'MMD': np.float64(45.226)}, '4-181_202_208_999_4_4_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_202_4': {'VS': 0.618, 'HS': np.float64(1.864), 'MMD': np.float64(31.161)}, '3-181_202_208_4_4_0': {'VS': 0.223, 'HS': np.float64(1.836), 'MMD': np.float64(34.204)}, '4-181_202_208_999_4_4_0_0_0_0': {'VS': 0.203, 'HS': np.float64(1.636), 'MMD': np.float64(36.364)}}",250,0.007,75.803,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_202_224_999_4_4_0_0_0_0,4,293,2.154,35.075,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_202_4': {'VS': 0.408, 'HS': np.float64(3.255), 'MMD': np.float64(40.333)}, '3-181_202_224_4_4_0': {'VS': 0.07, 'HS': np.float64(4.903), 'MMD': np.float64(39.871)}, '4-181_202_224_999_4_4_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_202_4': {'VS': 0.618, 'HS': np.float64(1.864), 'MMD': np.float64(31.161)}, '3-181_202_224_4_4_0': {'VS': 0.264, 'HS': np.float64(2.396), 'MMD': np.float64(33.021)}, '4-181_202_224_999_4_4_0_0_0_0': {'VS': 0.237, 'HS': np.float64(2.154), 'MMD': np.float64(35.075)}}",293,0.194,50.949,0.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_202_213_999_4_4_0_0_0_0,4,418,2.778,35.9,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_202_4': {'VS': 0.408, 'HS': np.float64(3.255), 'MMD': np.float64(40.333)}, '3-181_202_213_4_4_0': {'VS': 0.323, 'HS': np.float64(8.312), 'MMD': np.float64(43.873)}, '4-181_202_213_999_4_4_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_202_4': {'VS': 0.618, 'HS': np.float64(1.864), 'MMD': np.float64(31.161)}, '3-181_202_213_4_4_0': {'VS': 0.373, 'HS': np.float64(3.217), 'MMD': np.float64(33.639)}, '4-181_202_213_999_4_4_0_0_0_0': {'VS': 0.339, 'HS': np.float64(2.778), 'MMD': np.float64(35.9)}}",418,0.05,70.22,0.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_202_172_999_4_4_0_0_0_0,4,267,1.629,35.157,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_202_4': {'VS': 0.408, 'HS': np.float64(3.255), 'MMD': np.float64(40.333)}, '3-181_202_172_4_4_0': {'VS': 0.217, 'HS': np.float64(3.035), 'MMD': np.float64(44.482)}, '4-181_202_172_999_4_4_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_202_4': {'VS': 0.618, 'HS': np.float64(1.864), 'MMD': np.float64(31.161)}, '3-181_202_172_4_4_0': {'VS': 0.245, 'HS': np.float64(1.834), 'MMD': np.float64(32.987)}, '4-181_202_172_999_4_4_0_0_0_0': {'VS': 0.216, 'HS': np.float64(1.629), 'MMD': np.float64(35.157)}}",267,0.028,79.353,0.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-181_202_999_4_0_0,3,747,1.728,33.91,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_202_4': {'VS': 0.408, 'HS': np.float64(3.255), 'MMD': np.float64(40.333)}, '3-181_202_999_4_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_202_4': {'VS': 0.618, 'HS': np.float64(1.864), 'MMD': np.float64(31.161)}, '3-181_202_999_4_0_0': {'VS': 0.605, 'HS': np.float64(1.728), 'MMD': np.float64(33.91)}}",747,0.21,52.963,0.297,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4-181_225_202_999_4_4_0_0_0_0,4,288,2.247,35.326,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_225_4': {'VS': 0.125, 'HS': np.float64(3.304), 'MMD': np.float64(32.636)}, '3-181_225_202_4_4_0': {'VS': 0.067, 'HS': np.float64(4.449), 'MMD': np.float64(40.527)}, '4-181_225_202_999_4_4_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_225_4': {'VS': 0.601, 'HS': np.float64(2.534), 'MMD': np.float64(30.478)}, '3-181_225_202_4_4_0': {'VS': 0.262, 'HS': np.float64(2.477), 'MMD': np.float64(33.149)}, '4-181_225_202_999_4_4_0_0_0_0': {'VS': 0.233, 'HS': np.float64(2.247), 'MMD': np.float64(35.326)}}",288,0.195,26.964,0.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_225_212_999_4_3_0_0_0_0,4,272,2.121,35.118,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_225_4': {'VS': 0.125, 'HS': np.float64(3.304), 'MMD': np.float64(32.636)}, '3-181_225_212_4_3_0': {'VS': 0.023, 'HS': np.float64(2.036), 'MMD': np.float64(35.182)}, '4-181_225_212_999_4_3_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_225_4': {'VS': 0.601, 'HS': np.float64(2.534), 'MMD': np.float64(30.478)}, '3-181_225_212_4_3_0': {'VS': 0.229, 'HS': np.float64(2.339), 'MMD': np.float64(32.753)}, '4-181_225_212_999_4_3_0_0_0_0': {'VS': 0.22, 'HS': np.float64(2.121), 'MMD': np.float64(35.118)}}",272,0.206,10.786,0.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_225_212_999_4_4_0_0_0_0,4,517,3.76,34.885,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_225_4': {'VS': 0.125, 'HS': np.float64(3.304), 'MMD': np.float64(32.636)}, '3-181_225_212_4_4_0': {'VS': 0.097, 'HS': np.float64(9.585), 'MMD': np.float64(38.041)}, '4-181_225_212_999_4_4_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_225_4': {'VS': 0.601, 'HS': np.float64(2.534), 'MMD': np.float64(30.478)}, '3-181_225_212_4_4_0': {'VS': 0.451, 'HS': np.float64(4.478), 'MMD': np.float64(32.523)}, '4-181_225_212_999_4_4_0_0_0_0': {'VS': 0.419, 'HS': np.float64(3.76), 'MMD': np.float64(34.885)}}",517,0.354,18.968,0.405,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
4-181_225_213_999_4_4_0_0_0_0,4,499,3.613,35.094,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_225_4': {'VS': 0.125, 'HS': np.float64(3.304), 'MMD': np.float64(32.636)}, '3-181_225_213_4_4_0': {'VS': 0.089, 'HS': np.float64(8.771), 'MMD': np.float64(38.626)}, '4-181_225_213_999_4_4_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_225_4': {'VS': 0.601, 'HS': np.float64(2.534), 'MMD': np.float64(30.478)}, '3-181_225_213_4_4_0': {'VS': 0.431, 'HS': np.float64(4.329), 'MMD': np.float64(32.684)}, '4-181_225_213_999_4_4_0_0_0_0': {'VS': 0.404, 'HS': np.float64(3.613), 'MMD': np.float64(35.094)}}",499,0.342,20.588,0.401,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
4-181_225_172_999_4_4_0_0_0_0,4,300,2.11,34.27,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_225_4': {'VS': 0.125, 'HS': np.float64(3.304), 'MMD': np.float64(32.636)}, '3-181_225_172_4_4_0': {'VS': 0.067, 'HS': np.float64(3.671), 'MMD': np.float64(39.178)}, '4-181_225_172_999_4_4_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_225_4': {'VS': 0.601, 'HS': np.float64(2.534), 'MMD': np.float64(30.478)}, '3-181_225_172_4_4_0': {'VS': 0.266, 'HS': np.float64(2.39), 'MMD': np.float64(32.233)}, '4-181_225_172_999_4_4_0_0_0_0': {'VS': 0.243, 'HS': np.float64(2.11), 'MMD': np.float64(34.27)}}",300,0.199,24.897,0.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-181_225_999_4_0_0,3,717,2.343,33.424,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_225_4': {'VS': 0.125, 'HS': np.float64(3.304), 'MMD': np.float64(32.636)}, '3-181_225_999_4_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_225_4': {'VS': 0.601, 'HS': np.float64(2.534), 'MMD': np.float64(30.478)}, '3-181_225_999_4_0_0': {'VS': 0.581, 'HS': np.float64(2.343), 'MMD': np.float64(33.424)}}",717,0.476,13.228,0.43,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1
3-181_212_999_3_0_0,3,508,1.03,31.642,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_212_3': {'VS': 0.227, 'HS': np.float64(1.104), 'MMD': np.float64(33.189)}, '3-181_212_999_3_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_212_3': {'VS': 0.414, 'HS': np.float64(1.039), 'MMD': np.float64(28.288)}, '3-181_212_999_3_0_0': {'VS': 0.412, 'HS': np.float64(1.03), 'MMD': np.float64(31.642)}}",508,0.187,22.91,0.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-181_212_193_999_4_4_0_0_0_0,4,281,2.658,35.374,"{'1-181_': {'VS': 0.6, 'HS': np.float64(2.021), 'MMD': np.float64(31.748)}, '2-181_212_4': {'VS': 0.502, 'HS': np.float64(7.21), 'MMD': np.float64(38.73)}, '3-181_212_193_4_4_0': {'VS': 0.208, 'HS': np.float64(7.743), 'MMD': np.float64(43.928)}, '4-181_212_193_999_4_4_0_0_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-181_': {'VS': 0.985, 'HS': np.float64(1.443), 'MMD': np.float64(27.079)}, '2-181_212_4': {'VS': 0.84, 'HS': np.float64(3.617), 'MMD': np.float64(30.05)}, '3-181_212_193_4_4_0': {'VS': 0.248, 'HS': np.float64(3.036), 'MMD': np.float64(33.033)}, '4-181_212_193_999_4_4_0_0_0_0': {'VS': 0.228, 'HS': np.float64(2.658), 'MMD': np.float64(35.374)}}",281,0.04,71.948,0.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
