TIRP_Representation,Size,Vertical_Support,Mean_Horizontal_Support,Mean_Mean_Duration,Prefix_Metrics_Cls0,Prefix_Metrics_Cls1,Score_diff_horizontal_support,Score_diff_mean_duration,Score_diff_vertical_support,Binary_diff_horizontal_support#20,Binary_diff_horizontal_support#15,Binary_diff_horizontal_support#10,Binary_diff_horizontal_support#5,Binary_diff_mean_duration#20,Binary_diff_mean_duration#15,Binary_diff_mean_duration#10,Binary_diff_mean_duration#5,Binary_diff_vertical_support#20,Binary_diff_vertical_support#15,Binary_diff_vertical_support#10,Binary_diff_vertical_support#5
3-8_1_999_5_0_0,3,105,1.01,154.543,"{'1-8_': {'VS': 0.9, 'HS': np.float64(7.571), 'MMD': 126.8}, '2-8_1_5': {'VS': 0.652, 'HS': np.float64(1.015), 'MMD': 681.81}, '3-8_1_999_5_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-8_': {'VS': 0.9, 'HS': np.float64(1.688), 'MMD': 48.164}, '2-8_1_5': {'VS': 0.32, 'HS': np.float64(1.009), 'MMD': 152.292}, '3-8_1_999_5_0_0': {'VS': 0.317, 'HS': np.float64(1.01), 'MMD': 154.543}}",-0.006,-529.518,-0.332,1,1,1,1,0,0,0,0,0,0,0,0
3-1_2_999_3_0_0,3,206,1,138.665,"{'1-1_': {'VS': 0.981, 'HS': np.float64(9.524), 'MMD': 125.298}, '2-1_2_3': {'VS': 0.633, 'HS': np.float64(1.015), 'MMD': 683.947}, '3-1_2_999_3_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-1_': {'VS': 0.991, 'HS': np.float64(2.732), 'MMD': 46.627}, '2-1_2_3': {'VS': 0.622, 'HS': np.float64(1.0), 'MMD': 136.544}, '3-1_2_999_3_0_0': {'VS': 0.622, 'HS': np.float64(1.0), 'MMD': 138.665}}",-0.015,-547.403,-0.011,1,1,1,1,0,0,0,0,1,1,1,0
3-1_11_999_3_0_0,3,125,1.048,67.8,"{'1-1_': {'VS': 0.981, 'HS': np.float64(9.524), 'MMD': 125.298}, '2-1_11_6': {'VS': 0.095, 'HS': np.float64(1.05), 'MMD': 440.85}, '3-1_11_999_6_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-1_': {'VS': 0.991, 'HS': np.float64(2.732), 'MMD': 46.627}, '2-1_11_6': {'VS': 0.378, 'HS': np.float64(1.016), 'MMD': 65.368}, '3-1_11_999_6_0_0': {'VS': 0.378, 'HS': np.float64(1.048), 'MMD': 67.8}}",-0.034,-375.482,0.283,1,1,1,1,0,0,0,0,1,1,1,1
3-1_14_999_3_0_0,3,169,1.006,130.701,"{'1-1_': {'VS': 0.981, 'HS': np.float64(9.524), 'MMD': 125.298}, '2-1_14_3': {'VS': 0.505, 'HS': np.float64(1.0), 'MMD': 698.066}, '3-1_14_999_3_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-1_': {'VS': 0.991, 'HS': np.float64(2.732), 'MMD': 46.627}, '2-1_14_3': {'VS': 0.511, 'HS': np.float64(1.006), 'MMD': 128.352}, '3-1_14_999_3_0_0': {'VS': 0.511, 'HS': np.float64(1.006), 'MMD': 130.701}}",0.006,-569.714,0.006,1,1,1,1,0,0,0,0,1,1,1,0
3-14_2_999_3_0_0,3,154,1.013,143.334,"{'1-14_': {'VS': 0.81, 'HS': np.float64(2.188), 'MMD': 482.73}, '2-14_2_3': {'VS': 0.586, 'HS': np.float64(1.041), 'MMD': 586.057}, '3-14_2_999_3_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-14_': {'VS': 0.961, 'HS': np.float64(1.223), 'MMD': 95.686}, '2-14_2_3': {'VS': 0.465, 'HS': np.float64(1.013), 'MMD': 140.455}, '3-14_2_999_3_0_0': {'VS': 0.465, 'HS': np.float64(1.013), 'MMD': 143.334}}",-0.028,-445.602,-0.121,1,1,1,1,0,0,0,0,1,1,0,0
3-18_20_999_6_0_0,3,125,1.048,67.8,"{'1-1_': {'VS': 0.981, 'HS': np.float64(9.524), 'MMD': 125.298}, '2-1_11_6': {'VS': 0.095, 'HS': np.float64(1.05), 'MMD': 440.85}, '3-1_11_999_6_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-1_': {'VS': 0.991, 'HS': np.float64(2.732), 'MMD': 46.627}, '2-1_11_6': {'VS': 0.378, 'HS': np.float64(1.016), 'MMD': 65.368}, '3-1_11_999_6_0_0': {'VS': 0.378, 'HS': np.float64(1.048), 'MMD': 67.8}}",-0.034,-375.482,0.283,1,1,1,1,0,0,0,0,1,1,1,1
4-1_14_6_999_3_4_4_0_0_0,3,206,1,138.665,"{'1-1_': {'VS': 0.981, 'HS': np.float64(9.524), 'MMD': 125.298}, '2-1_2_3': {'VS': 0.633, 'HS': np.float64(1.015), 'MMD': 683.947}, '3-1_2_999_3_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-1_': {'VS': 0.991, 'HS': np.float64(2.732), 'MMD': 46.627}, '2-1_2_3': {'VS': 0.622, 'HS': np.float64(1.0), 'MMD': 136.544}, '3-1_2_999_3_0_0': {'VS': 0.622, 'HS': np.float64(1.0), 'MMD': 138.665}}",-0.015,-547.403,-0.011,1,1,1,1,0,0,0,0,1,1,1,0
4-1_8_6_999_6_4_4_0_0_0,3,206,1,138.665,"{'1-1_': {'VS': 0.981, 'HS': np.float64(9.524), 'MMD': 125.298}, '2-1_2_3': {'VS': 0.633, 'HS': np.float64(1.015), 'MMD': 683.947}, '3-1_2_999_3_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-1_': {'VS': 0.991, 'HS': np.float64(2.732), 'MMD': 46.627}, '2-1_2_3': {'VS': 0.622, 'HS': np.float64(1.0), 'MMD': 136.544}, '3-1_2_999_3_0_0': {'VS': 0.622, 'HS': np.float64(1.0), 'MMD': 138.665}}",-0.015,-547.403,-0.011,1,1,1,1,0,0,0,0,1,1,1,0
3-5_20_999_4_0_0,3,125,1.048,67.8,"{'1-5_': {'VS': 0.981, 'HS': np.float64(9.524), 'MMD': 125.298}, '2-5_20_4': {'VS': 0.095, 'HS': np.float64(1.05), 'MMD': 440.85}, '3-5_20_999_4_0_0': {'VS': 0.0, 'HS': 0.0, 'MMD': 0.0}}","{'1-5_': {'VS': 0.991, 'HS': np.float64(2.732), 'MMD': 46.627}, '2-5_20_4': {'VS': 0.378, 'HS': np.float64(1.016), 'MMD': 65.368}, '3-5_20_999_4_0_0': {'VS': 0.378, 'HS': np.float64(1.048), 'MMD': 67.8}}",-0.034,-375.482,0.283,1,1,1,1,0,0,0,0,1,1,1,1
